Data,KM Atual,Peça Trocada,Valor Peça,Local,Mão de Obra,Próxima Troca,Observação
2026-04-13,346900,Cubo de roda traseiro lado esquerdo,349.0,Crisander,0.0,,Eu mesmo troquei/ marca Nakata
2026-04-14,346900,Oleo e Filtro,148.0,Benfica,0.0,356900,teste
